Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,69900,Research PhD Thesis,202320,Spring 2023,7,11856,"Briggs, Scott D.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
BIOL,BIOL-Biological Sciences,11000,Fundamentals Biol I,202320,Spring 2023,1,11220,"Humphrey, Sean E.",34.90%,,21.50%,,9.60%,,23.10%,1.60%,,4.50%,0.60%,,1.00%,,2.60%,,,,,,,,,0.60%,,,
,,,,,,2,24524,"Humphrey, Sean E.",34.30%,,24.90%,,7.10%,,19.40%,2.60%,,5.20%,0.60%,,2.30%,,2.30%,,,,0.60%,,,,,0.60%,,,
,,,Fundamentals Biol I-Honors,202320,Spring 2023,2,24524,"Humphrey, Sean E.",,,66.70%,,,,33.30%,,,,,,,,,,,,,,,,,,,,
,,11100,Fundamentals Biol II,202320,Spring 2023,1,11378,"Humphrey, Sean E.",45.60%,,23.90%,,4.70%,,20.30%,0.50%,,3.00%,,,0.50%,,0.80%,,,,,,,,,0.50%,,,
,,,,,,2,11379,"Humphrey, Sean E.",42.80%,,29.30%,,6.60%,,18.00%,0.60%,,1.70%,0.30%,,,,0.80%,,,,,,,,,,,,
,,,,,,3,11380,"Humphrey, Sean E.",43.50%,,19.80%,,6.30%,,24.50%,1.10%,,3.00%,,,0.60%,,0.30%,,,,,,,,,0.80%,,,
,,,Fundamentals Biol II-Honors,202320,Spring 2023,1,11378,"Humphrey, Sean E.",8.30%,,91.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,11379,"Humphrey, Sean E.",11.10%,,88.90%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,11380,"Humphrey, Sean E.",41.70%,,50.00%,,,,8.30%,,,,,,,,,,,,,,,,,,,,
,,13100,Biol II Dev Struc Func,202320,Spring 2023,1,11387,"Camarillo, Ignacio G.",20.80%,,,,36.40%,,,24.70%,,,9.60%,,,,7.10%,,,,,,,,,1.40%,,,
,,13500,First Year Biology Lab,202320,Spring 2023,1,49699,"Kilgour, Roslyn J.",59.90%,,,,28.20%,,,5.60%,,,1.40%,,,,3.50%,,,,,,,,,1.40%,,,
,,19500,"Diet, Dis & Immune Sys-Honors",202320,Spring 2023,H01,19200,"Olson, Matthew",92.30%,,,,7.70%,,,,,,,,,,,,,,,,,,,,,,
,,20400,Human Antmy & Physiol,202320,Spring 2023,1,11392,"Branstetter, Brent A.",12.80%,9.10%,2.80%,,18.20%,8.50%,13.10%,12.30%,4.30%,8.50%,2.30%,0.60%,4.00%,,1.10%,0.30%,0.30%,,,,,,,1.70%,,,
,,,,,,2,11393,"Branstetter, Brent A.",8.80%,12.50%,2.00%,,15.90%,11.40%,10.50%,12.80%,4.80%,11.90%,2.80%,0.30%,2.80%,,1.10%,,,,,,,,,2.30%,,,
,,,,,,3,24964,"Branstetter, Brent A.",12.80%,10.50%,2.40%,,17.00%,10.70%,10.50%,9.20%,4.20%,12.00%,2.40%,1.00%,4.50%,,0.80%,,,,0.30%,,,,,1.80%,,,
,,,Human Antmy & Physiol-Honors,202320,Spring 2023,1,11392,"Branstetter, Brent A.",50.00%,,,,50.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,24964,"Branstetter, Brent A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20600,Biol Elem Sch Teach,202320,Spring 2023,1,12128,"White, Stuart K.",70.20%,,,,20.60%,,,3.80%,,,2.30%,,,,0.80%,,,,,,,,,2.30%,,,
,,22100,Intro To Microbiology,202320,Spring 2023,1,12142,"Pappas, Donald L.",35.70%,,,,30.70%,,,24.10%,,,6.30%,,,,0.90%,,,,,,,,,2.20%,,,
,,24100,Biol IV Gntcs Mlclr,202320,Spring 2023,1,11396,"Chang, Henry C.",17.40%,1.80%,2.30%,0.20%,25.50%,3.40%,2.50%,23.40%,5.30%,4.10%,11.20%,0.70%,,,0.20%,,,,,,,,,1.80%,,,
,,24200,Lab Bio IV Gntcs Mlclr,202320,Spring 2023,1,11397,"Karve, Rucha A.",50.10%,,12.10%,,11.80%,,21.40%,1.50%,,1.00%,1.30%,,,,0.30%,,,,,,,,,0.50%,,,
,,28600,Intro To Ecol & Evol,202320,Spring 2023,1,11400,"Zielinski, Denise L.",13.30%,,1.90%,,30.90%,,5.50%,28.50%,,5.90%,3.60%,,3.80%,,4.30%,,,,,,,,,1.90%,0.50%,,
,,,,,,2,27801,"Zielinski, Denise L.",,,,,17.40%,,,43.50%,,17.40%,8.70%,,,,4.30%,,,,,,,,,8.70%,,,
,,,Intro To Ecol & Evol-Honors,202320,Spring 2023,1,11400,"Zielinski, Denise L.",66.70%,,,,33.30%,,,,,,,,,,,,,,,,,,,,,,
,,29300,Plan Future In Biol,202320,Spring 2023,2,62993,"Kuhn, Richard J.",83.90%,,,,12.90%,,,3.20%,,,,,,,,,,,,,,,,,,,
,,32800,Principles Of Physiology,202320,Spring 2023,1,11424,"Gardner, Stephanie M.",50.00%,21.30%,12.80%,,2.10%,1.10%,8.50%,1.10%,,1.10%,,,,,,1.10%,,,,,,,,1.10%,,,
,,36700,Principles Of Development,202320,Spring 2023,1,26153,"Leung, Yuk Fai",38.50%,,,,48.70%,,,7.70%,,,5.10%,,,,,,,,,,,,,,,,
,,39600,Premed Planning Sem,202320,Spring 2023,1,12238,"Hines-Pham, Caralynn S.",,,,,,,,,,,,,,,,,,,,,95.20%,,4.80%,,,,
,,,,,,2,69002,"Hines-Pham, Caralynn S.",,,,,,,,,,,,,,,,,,,,,97.60%,,2.40%,,,,
,,41500,Intro Molecular Biol,202320,Spring 2023,1,26155,"Hanna, Jason A.",3.20%,12.90%,41.90%,,9.70%,6.50%,3.20%,3.20%,3.20%,6.50%,6.50%,3.20%,,,,,,,,,,,,,,,
,,41600,Viruses & Viral Disease,202320,Spring 2023,1,57239,"Kuhn, Richard J.",31.60%,,,,21.50%,,21.50%,3.80%,,12.70%,1.30%,,,,1.30%,,,,1.30%,,,,,5.10%,,,
,,48100,Eukaryotic Genetics,202320,Spring 2023,1,11433,"Pappas, Donald L.",35.60%,16.90%,8.50%,,6.80%,6.80%,3.40%,6.80%,3.40%,3.40%,,,3.40%,,3.40%,,,,,,,,,1.70%,,,
,,49500,Tpcs In Endocrinology & Cancer,202320,Spring 2023,14,29143,"Camarillo, Ignacio G.",83.30%,,,,11.10%,,,,,,,,,,,5.60%,,,,,,,,,,,
,,49700,Biol Honors Seminar,202320,Spring 2023,H01,10263,"Ready, Donald F.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,49800,Teach Human Antmy & Physiology,202320,Spring 2023,1,45922,"Kolo, Lisa P.",14.30%,,85.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,51600,Molecular Biol Cancer,202320,Spring 2023,1,24953,"Harding, Rebecca",23.50%,14.10%,14.10%,2.40%,9.40%,4.70%,10.60%,8.20%,3.50%,2.40%,2.40%,,2.40%,,,,,,,,,,,1.20%,1.20%,,
,,52900,Bacterial Physiology,202320,Spring 2023,1,22568,"Luo, Zhao-Qing",9.50%,14.30%,19.00%,,4.80%,19.00%,14.30%,14.30%,,,,,,,,,,,,,,,,4.80%,,,
,,53800,Mol Cell & Dev Neuro,202320,Spring 2023,1,12306,"Ready, Donald F.",73.30%,,,,10.00%,,,6.70%,,,3.30%,,,,3.30%,,,,3.30%,,,,,,,,
,,55001,Eukaryotic Molecular Biology,202320,Spring 2023,1,27754,"Gelvin, Stanton B.",54.50%,18.20%,,,,9.10%,9.10%,,,,,,,,9.10%,,,,,,,,,,,,
,,56200,Neural Systems,202320,Spring 2023,1,12316,"Robles, Estuardo",21.20%,22.70%,22.70%,,6.10%,4.50%,10.60%,1.50%,4.50%,6.10%,,,,,,,,,,,,,,,,,
,,56310,Protein Bioinformatics,202320,Spring 2023,1,20367,"Kihara, Daisuke",26.30%,10.50%,5.30%,,21.10%,5.30%,,10.50%,,,,,,,10.50%,,,,,,,,,10.50%,,,
,,58000,Evolution,202320,Spring 2023,1,10590,"Harding, Rebecca",65.80%,10.50%,,,5.30%,,10.50%,,2.60%,2.60%,,,2.60%,,,,,,,,,,,,,,
,,59200,Evolution Of Behavior,202320,Spring 2023,1,23103,"Lucas, Jeffrey R.",15.40%,,,,25.60%,15.40%,7.70%,7.70%,5.10%,7.70%,,2.60%,5.10%,,2.60%,,,,,,,,,5.10%,,,
,,59500,Building The Tree Of Life,202320,Spring 2023,92,28835,"He, Qixin",11.10%,11.10%,,,11.10%,,33.30%,,5.60%,11.10%,,,5.60%,,5.60%,,,,,,,,,5.60%,,,
,,,Disease Ecology,202320,Spring 2023,85,16515,"Hoverman, Jason T.",57.10%,,21.40%,,14.30%,,7.10%,,,,,,,,,,,,,,,,,,,,
,,,Immun Of Cancer & Infect Dis,202320,Spring 2023,96,21049,"Olson, Matthew",83.30%,,,,,,8.30%,,,,,,,,,,,,,,,,,8.30%,,,
,,,Neural Mech Health & Disease,202320,Spring 2023,MJ1,14994,"Bartlett, Edward L.",25.00%,29.20%,4.20%,,25.00%,4.20%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,Practical Bio Comput,202320,Spring 2023,91,28015,"Gribskov, Michael R.",85.70%,,,,,,,,,,,,,,,7.10%,,,,,,,,7.10%,,,
,,,Structural Biology Lab,202320,Spring 2023,94,28850,"Chang, Leifu",93.80%,,,,,,,,,,,,,,6.30%,,,,,,,,,,,,
,,,X-Ray Crystallography,202320,Spring 2023,69,16437,"Noinaj, Nicholas",38.50%,7.70%,,7.70%,15.40%,7.70%,23.10%,,,,,,,,,,,,,,,,,,,,
,,66300,Sem Method Prof Dev II,202320,Spring 2023,1,30314,"Evans, Janice P.",96.20%,,,,,,,,,,,,,,,,,,,,,,,3.80%,,,
,,69100,Biological Res Mthds,202320,Spring 2023,2,17892,"Kasinski, Andrea L.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,,,,,3,24127,"Kasinski, Andrea L.",,,,,,,,,,,,,,,,,5.90%,,88.20%,,,,,5.90%,,,
,,69500,Microscopy For Life Scientists,202320,Spring 2023,22,14523,"Cui, Meng",16.70%,25.00%,,,33.30%,8.30%,8.30%,,,,,,,,8.30%,,,,,,,,,,,,
BME,BME-Biomedical Engineering,20100,"Biomol:Strct,Funct,Apl",202320,Spring 2023,1,15146,"Solorio, Luis",46.80%,,7.80%,,14.30%,,20.80%,1.30%,,6.50%,,,1.30%,,1.30%,,,,,,,,,,,,
,,,,,,2,15147,"Solorio, Luis",34.80%,,9.10%,,24.20%,,21.20%,1.50%,,6.10%,,,3.00%,,,,,,,,,,,,,,
,,20600,Biomechanics & Biomaterial Lab,202320,Spring 2023,1,11449,"Linnes, Michael P.",26.10%,39.10%,,,8.70%,,21.70%,,,4.30%,,,,,,,,,,,,,,,,,
,,,,,,2,11450,"Linnes, Michael P.",37.50%,50.00%,,,4.20%,,8.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,3,11452,"Linnes, Michael P.",22.70%,27.30%,9.10%,,13.60%,,27.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,4,11453,"Linnes, Michael P.",12.50%,31.30%,,,12.50%,,37.50%,,,6.30%,,,,,,,,,,,,,,,,,
,,,,,,5,11454,"Linnes, Michael P.",4.30%,34.80%,,,26.10%,,34.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,6,25466,"Linnes, Michael P.",21.10%,26.30%,5.30%,,26.30%,5.30%,15.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,7,25467,"Linnes, Michael P.",6.70%,46.70%,13.30%,,13.30%,,20.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,8,15125,"Linnes, Michael P.",22.20%,55.60%,5.60%,,11.10%,5.60%,,,,,,,,,,,,,,,,,,,,,
,,20700,Bioinstrumentation & Circuits,202320,Spring 2023,1,30242,"Tong, Yunjie",11.10%,14.40%,,,23.30%,14.40%,13.30%,11.10%,1.10%,7.80%,,1.10%,2.20%,,,,,,,,,,,,,,
,,,,,,2,30243,"Tong, Yunjie",9.20%,6.20%,3.10%,,20.00%,18.50%,13.80%,10.80%,3.10%,10.80%,,1.50%,3.10%,,,,,,,,,,,,,,
,,25600,Physiological Modeling,202320,Spring 2023,1,57811,"Babbs, Charles F.",48.70%,,,,44.90%,,,6.40%,,,,,,,,,,,,,,,,,,,
,,,,,,2,24348,"Babbs, Charles F.",64.70%,,,,30.60%,,,4.70%,,,,,,,,,,,,,,,,,,,
,,29199,Cooperative Experience I,202320,Spring 2023,1,15197,"Glidden, Austin T.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,29299,Cooperative Experience II,202320,Spring 2023,1,15198,"Glidden, Austin T.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,29500,Thermodynamics In Biol Sys II,202320,Spring 2023,2,10199,"Pienaar, Elsje",43.90%,15.90%,15.90%,,6.10%,2.40%,14.60%,,,1.20%,,,,,,,,,,,,,,,,,
,,,,,,12,23993,"Liu, Junli",29.60%,14.10%,14.10%,,11.30%,8.50%,14.10%,2.80%,2.80%,1.40%,,,,,,,,,,,,,,1.40%,,,
,,31400,Experimental Biomechanics,202320,Spring 2023,1,16138,"Chan, Deva D.",7.00%,17.40%,3.50%,,22.10%,17.40%,16.30%,2.30%,,10.50%,1.20%,1.20%,,,1.20%,,,,,,,,,,,,
,,36000,Intro Bioimaging,202320,Spring 2023,1,10070,"Tong, Yunjie",13.60%,43.20%,,,9.10%,2.30%,20.50%,2.30%,,4.50%,,,,,,,,,2.30%,,,,,2.30%,,,
,,36600,Foundations BME Data Science,202320,Spring 2023,1,16142,"Brubaker, Douglas K.",32.40%,16.20%,32.40%,,5.40%,,8.10%,,2.70%,,,2.70%,,,,,,,,,,,,,,,
,,38900,Junior Design Lab,202320,Spring 2023,1,16152,"Aboelzahab, Asem F.",73.90%,21.70%,,,4.30%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,16155,"Aboelzahab, Asem F.",56.50%,43.50%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,16162,"Aboelzahab, Asem F.",87.00%,4.30%,,,,,8.70%,,,,,,,,,,,,,,,,,,,,
,,,,,,4,16166,"Aboelzahab, Asem F.",50.00%,42.90%,,,,,7.10%,,,,,,,,,,,,,,,,,,,,
,,,,,,5,16169,"Aboelzahab, Asem F.",87.50%,4.20%,,,,4.20%,,,,,,,,,,,,,,,,,,4.20%,,,
,,,,,,6,16170,"Aboelzahab, Asem F.",66.70%,28.60%,,,,,4.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,7,16171,"Aboelzahab, Asem F.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39000,Prof Develpmnt & Design In BME,202320,Spring 2023,1,21617,"Lee, Hyowon",56.20%,13.70%,26.00%,,2.70%,,1.40%,,,,,,,,,,,,,,,,,,,,
,,44000,Computational Mechanics In BME,202320,Spring 2023,1,16144,"Kim, Tae Yoon",19.30%,40.40%,19.30%,,1.80%,7.00%,7.00%,1.80%,,,,,1.80%,,1.80%,,,,,,,,,,,,
,,45000,Deep Learning/Med Imaging,202320,Spring 2023,1,16186,"Culurciello, Eugenio",76.60%,20.30%,,,,,,,,,,,,,,3.10%,,,,,,,,,,,
,,49500,Grnd Challngs In Accessibility,202320,Spring 2023,9,21027,"Duerstock, Bradley S.",31.00%,6.90%,31.00%,,3.40%,3.40%,24.10%,,,,,,,,,,,,,,,,,,,,
,,,Translation Sr Design Projects,202320,Spring 2023,1,15466,"Kong, Nan K.",68.80%,,18.80%,,,,6.30%,,,,,,,,,,,,,,,,,6.30%,,,
,,51100,Biomedical Signal Processing,202320,Spring 2023,MJD,14951,"Heinz, Michael G.",50.00%,20.00%,6.70%,,6.70%,3.30%,6.70%,,,,,,,,,,,,,,,,,6.70%,,,
,,55500,MRI Theory,202320,Spring 2023,1,24541,"Rispoli, Joseph V.",71.40%,,14.30%,,7.10%,,,,,,,,,,,,,,,,,,,7.10%,,,
,,56200,Regulatory Approval,202320,Spring 2023,MJD,24952,"Lottes, Aaron E.",61.10%,11.10%,11.10%,,2.80%,,11.10%,2.80%,,,,,,,,,,,,,,,,,,,
,,56400,Ethical Engr Med Technologies,202320,Spring 2023,MJD,24477,"Brightman, Andrew O.",75.00%,,15.00%,,5.00%,5.00%,,,,,,,,,,,,,,,,,,,,,
,,58100,BioMEMS,202320,Spring 2023,MJD,16858,"Lee, Chi Hwan",91.30%,8.70%,,,,,,,,,,,,,,,,,,,,,,,,,
,,59500,Neural Mech Health & Disease,202320,Spring 2023,MJ1,14996,"Bartlett, Edward L.",37.00%,11.10%,11.10%,7.40%,7.40%,3.70%,18.50%,,,,,,,,,,,,,,,,,3.70%,,,
,,,Polymeric Biomaterials,202320,Spring 2023,MJD,27530,"Deng, Meng",46.70%,13.30%,20.00%,,13.30%,,6.70%,,,,,,,,,,,,,,,,,,,,
,,,Research Fundamentals II,202320,Spring 2023,18,16178,"Goergen, Craig J.",80.60%,3.20%,6.50%,,9.70%,,,,,,,,,,,,,,,,,,,,,,
,,,Wearable Sensors In Healthcare,202320,Spring 2023,16,16176,"Steinhubl, Steven R.",21.70%,8.70%,56.50%,,,4.30%,4.30%,,,,,,,,,,,,,,,,,4.30%,,,
,,64600,Deep Learning,202320,Spring 2023,1,25622,"Bouman, Charles A.",33.30%,,,,13.30%,33.30%,,6.70%,,,,,,,,,,,,,,,,13.30%,,,
,,69000,BME Seminar,202320,Spring 2023,4,12470,"Kim, Young L.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,69500,Hemodynamics,202320,Spring 2023,22,16180,"Rayz, Vitaliy L.",33.30%,8.30%,25.00%,16.70%,8.30%,,8.30%,,,,,,,,,,,,,,,,,,,,
BMS,BMS-Basic Medical Sciences,20100,Appld Dmestic Animal Anatmy I,202320,Spring 2023,1,17527,"Hannon, Kevin M.",81.80%,,,,9.10%,,,,,,,,,,9.10%,,,,,,,,,,,,
,,,Appld Dmstc Anml AntmyI-Honors,202320,Spring 2023,1,17527,"Hannon, Kevin M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23300,Intro To Pharm For Vet Techs,202320,Spring 2023,2,15884,"Anderson, Melinda J.",3.70%,11.10%,3.70%,,37.00%,14.80%,11.10%,3.70%,,14.80%,,,,,,,,,,,,,,,,,
,,52400,Intro Confocal Microsc,202320,Spring 2023,1,12555,"Robinson, Joseph P.",18.20%,,54.50%,,9.10%,,9.10%,9.10%,,,,,,,,,,,,,,,,,,,
,,69200,Seminar Basic Med Sci,202320,Spring 2023,1,12929,"Zhang, Guangjun",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,80200,Comparative Anatomy,202320,Spring 2023,4,13085,"Ekenstedt, Kari J.",5.80%,7.00%,,,14.00%,10.50%,8.10%,22.10%,2.30%,11.60%,5.80%,1.20%,1.20%,,9.30%,1.20%,,,,,,,,,,,
,,80500,Applied Anatomy Production Ani,202320,Spring 2023,1,12534,"Jaeger, Laurie A.",33.30%,,,,66.70%,,,,,,,,,,,,,,,,,,,,,,
,,80800,Veterinary Cell &Tissue Bio II,202320,Spring 2023,3,12697,"Figueiredo, Marxa L.",43.50%,,,,29.40%,,,17.60%,,,5.90%,,,,2.40%,1.20%,,,,,,,,,,,
,,81200,Physiology Of Dom Animals II,202320,Spring 2023,2,41245,"Little, Dianne",17.60%,,,,32.90%,,,37.60%,,,5.90%,,,,2.40%,3.50%,,,,,,,,,,,
,,81500,Veterinary Neurosci,202320,Spring 2023,3,13094,"Hannon, Kevin M.",72.60%,,,,22.60%,,,3.60%,,,,,,,,1.20%,,,,,,,,,,,
,,81600,Applied Pharmacology II,202320,Spring 2023,2,20421,"Anderson, Melinda J.",60.30%,,,,33.30%,,,6.40%,,,,,,,,,,,,,,,,,,,
,,81900,Endocrine/Neural: Wild Animals,202320,Spring 2023,1,21599,"Asem, Elikplimi K.",63.60%,,27.30%,,,,,,,,,,,,,,,,,,,,,9.10%,,,
BTNY,BTNY-Botany & Plant Pathology,11000,Intro To Plant Science,202320,Spring 2023,10,57713,"Fields, Jeneen S.",31.30%,,,,44.50%,,,14.20%,,,2.80%,,,,2.40%,,,,1.90%,,,,,2.80%,,,
,,12100,Principles Of Plant Biology II,202320,Spring 2023,3,20485,"Mickelbart, Michael V.",12.80%,6.40%,,,25.50%,2.10%,4.30%,17.00%,6.40%,4.30%,6.40%,2.10%,2.10%,,10.60%,,,,,,,,,,,,
,,20700,The Microbial World,202320,Spring 2023,1,43140,"Raudabaugh, Daniel B.",65.00%,,,,20.00%,,,5.00%,,,5.00%,,,,5.00%,,,,,,,,,,,,
,,30200,Plant Ecology,202320,Spring 2023,1,15703,"Oakley, Christopher G.",15.20%,15.20%,,,12.10%,21.20%,12.10%,9.10%,3.00%,6.10%,,,3.00%,,3.00%,,,,,,,,,,,,
,,35000,Biotechnology In Ag,202320,Spring 2023,1,33102,"Pruitt, Robert E.",74.30%,,,,17.10%,,,2.90%,,,,,,,,,,,2.90%,,,,,2.90%,,,
,,,Biotechnology In Ag-Honors,202320,Spring 2023,1,33102,"Pruitt, Robert E.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53500,Plant Disease Managemt,202320,Spring 2023,1,19906,"Cruz, Christian D.",7.70%,15.40%,46.20%,,,,15.40%,,,7.70%,,,,,,,,,,,,,,,,,7.70%
,,55200,Molec Apprch Plant Bio,202320,Spring 2023,1,27631,"Chen, Zhixiang",72.70%,,,,27.30%,,,,,,,,,,,,,,,,,,,,,,
,,59000,Plant Developmental Genetics,202320,Spring 2023,9,19818,"Kessler, Sharon A.",68.80%,12.50%,,,6.30%,,6.30%,6.30%,,,,,,,,,,,,,,,,,,,
,,,Scientific Presentations,202320,Spring 2023,8,19816,"Staiger, Christopher J.",92.90%,,,,7.10%,,,,,,,,,,,,,,,,,,,,,,
,,66000,Scientific Writing,202320,Spring 2023,1,20139,"Lisch, Damon R.",6.30%,,93.80%,,,,,,,,,,,,,,,,,,,,,,,,
CE,CE-Civil Engineering,20300,Princ & Pract Geomtics,202320,Spring 2023,1,12642,"Crawford, Melba M.",3.00%,11.30%,,,24.80%,19.50%,15.00%,9.80%,1.50%,7.50%,1.50%,0.80%,0.80%,,1.50%,,,,,,,,,3.00%,,,
,,21101,Thermal & Energy Sciences,202320,Spring 2023,1,24270,"Qu, Ming",7.60%,9.30%,2.90%,,12.80%,14.50%,9.30%,14.50%,4.10%,9.90%,3.50%,1.70%,4.70%,,2.90%,,,,,,,,,2.30%,,,
,,22200,Life Cycle Engr Construct Fac,202320,Spring 2023,1,63198,"Graff, Geoffrey H.",35.20%,17.60%,,,3.30%,12.10%,19.80%,5.50%,4.40%,1.10%,,,,,1.10%,,,,,,,,,,,,
,,27000,Intro Strctrl Mchncs,202320,Spring 2023,7,12667,"Prakash, Arun",8.90%,11.30%,3.80%,,12.20%,8.50%,6.60%,12.20%,8.00%,9.90%,6.60%,3.30%,4.20%,,2.80%,0.50%,,,,,,,,1.40%,,,
,,29202,Contemporary Issues In CE,202320,Spring 2023,1,13450,"Tompkins, John C.",89.80%,,,,2.00%,,,4.10%,,,,,,,4.10%,,,,,,,,,,,,
,,29700,Basic Mech I Statics,202320,Spring 2023,2,13867,"Mirzahosseini, Mohammadreza N.",0.90%,7.30%,6.40%,,10.00%,10.00%,6.40%,10.90%,20.00%,5.50%,5.50%,0.90%,1.80%,,11.80%,,,,,,,,,2.70%,,,
,,29800,Basic Mech II Dynamics,202320,Spring 2023,2,19150,"Irfanoglu, Ayhan",15.60%,1.80%,6.30%,,24.60%,5.40%,8.00%,17.40%,5.40%,10.70%,2.20%,,,,0.90%,0.40%,,,,,,,,1.30%,,,
,,29900,3D Printing Of Concrete,202320,Spring 2023,5,29548,"Olek, Jan",33.30%,20.00%,20.00%,,,,,,,,,,,,,,,,,,,,,26.70%,,,
,,31100,Architectural Engr,202320,Spring 2023,1,65464,"Karava, Panagiota",23.10%,11.50%,11.50%,,11.50%,7.70%,7.70%,3.80%,,3.80%,3.80%,,3.80%,,7.70%,,,,,,,,,3.80%,,,
,,33500,Civil Engineering Materials,202320,Spring 2023,1,24266,"Velay Lizancos, Maria Mirian",16.70%,9.00%,2.60%,,26.90%,11.50%,2.60%,16.70%,3.80%,3.80%,3.80%,1.30%,,,1.30%,,,,,,,,,,,,
,,34000,Hydraulics,202320,Spring 2023,1,21600,"Lyn, Dennis A.",8.00%,6.90%,2.30%,,9.20%,9.20%,4.60%,12.60%,17.20%,3.40%,4.60%,3.40%,5.70%,,9.20%,,,,,,,,,3.40%,,,
,,34300,Elem Hydraulics Lab,202320,Spring 2023,2,12691,"Lyn, Dennis A.",61.50%,,,,30.80%,,,7.70%,,,,,,,,,,,,,,,,,,,
,,,,,,4,33795,"Lyn, Dennis A.",63.20%,,,,21.10%,,,5.30%,,,,,,,5.30%,,,,,,,,,5.30%,,,
,,,,,,6,33796,"Lyn, Dennis A.",60.00%,,,,25.00%,,,,,,5.00%,,,,10.00%,,,,,,,,,,,,
,,,,,,8,20285,"Lyn, Dennis A.",57.90%,,,,21.10%,,,5.30%,,,5.30%,,,,5.30%,,,,,,,,,5.30%,,,
,,,,,,10,29771,"Lyn, Dennis A.",57.10%,,,,23.80%,,,9.50%,,,4.80%,,,,4.80%,,,,,,,,,,,,
,,35000,Intro Env And Ecol Engineering,202320,Spring 2023,1,12774,"Blatchley, Ernest R.",14.70%,20.60%,2.00%,,13.70%,10.80%,14.70%,6.90%,2.90%,5.90%,1.00%,1.00%,,,1.00%,,,,,,,,,2.90%,2.00%,,
,,35500,Eng Env Sustainability,202320,Spring 2023,1,14054,"Nies, Loring F.",46.70%,33.30%,,,3.30%,6.70%,10.00%,,,,,,,,,,,,,,,,,,,,
,,36100,Transportation Engr,202320,Spring 2023,1,13643,"Feng, Yiheng",18.40%,6.10%,6.10%,,15.30%,15.30%,12.20%,5.10%,3.10%,7.10%,2.00%,,3.10%,,5.10%,,,,,,,,,1.00%,,,
,,,Transportation Engr-Honors,202320,Spring 2023,1,13643,"Feng, Yiheng",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37100,Structural Analysis I,202320,Spring 2023,1,12702,"Jahanshahi, Mohammad Reza",4.50%,5.70%,1.10%,,11.40%,17.00%,8.00%,12.50%,5.70%,4.50%,8.00%,5.70%,12.50%,,3.40%,,,,,,,,,,,,
,,38300,Geotechnical Engr I,202320,Spring 2023,1,12704,"Santagata, Maria Caterina",8.30%,5.50%,1.80%,,14.70%,6.40%,8.30%,13.80%,9.20%,6.40%,12.80%,,5.50%,,6.40%,0.90%,,,,,,,,,,,
,,39201,Technical Communication In CE,202320,Spring 2023,1,17046,"Tompkins, John C.",93.10%,,,,5.00%,,,1.00%,,,,,,,1.00%,,,,,,,,,,,,
,,39800,Intro CE Systems Dsgn,202320,Spring 2023,1,12712,"Labi, Samuel",48.60%,8.40%,16.80%,,6.50%,2.80%,12.10%,1.90%,,,0.90%,,,,0.90%,,,,,,,,,0.90%,,,
,,41400,Bldg Mech & Elect System Dsgn,202320,Spring 2023,1,65466,"Horton, William T.",46.70%,13.30%,,6.70%,6.70%,20.00%,6.70%,,,,,,,,,,,,,,,,,,,,
,,44200,Intro To Hydrology,202320,Spring 2023,1,20151,"Merwade, Venkatesh M.",7.30%,18.20%,18.20%,,20.00%,,27.30%,,,7.30%,,,,,1.80%,,,,,,,,,,,,
,,45700,Air Poll Cntrl & Des,202320,Spring 2023,1,12721,"Jacko, Robert B.",76.20%,,4.80%,,,,14.30%,,,,,,,,4.80%,,,,,,,,,,,,
